ratings,titles,comments
4,Hài lòng,"shop ơi, mình muốn đổi size L thành size XL đc ko ạ? tại mình mặc ko vừa size L, với lại mình nhầm màu nâu đất với màu cam nên h mình muốn đổi lại thành áo size XL màu cam nha shop. shop cho địa chỉ shop nếu tiện đường thì mình mang qua đổi luôn ạ, áo mình chưa bóc nhãn mác và chưa rạch lỗ khuy áo đâu, cảm ơn shop."
2,nhận xét chân thật dễ mít lồng :)),"áo bung chỉ + chỉ thừa (ngồi lấy kéo cắt hết chắc củng tầm 40p)
bạn nào đã và đang chuẩn bị đặt thì chuẩn bị tiền về đạp thêm mấy đường chỉ luôn ( à góp vui thêm là có vài chỗ chèn chỉ màu cam rất sinh động,chắc là do hết chỉ...)
Tiki có liên hệ mình xin lỗi và cho mã giảm giá đặt hàng cho lần sau nhưng LÀM ƠN !!
khách hàng thân thiết còn làm ăn vậy thì những người mới mua bở ngỡ xong phê phán đồ trên mạng rồi sao ?
1 ngàn củng là tiền mà ?
mình qua Shoppee rồi mình không đi cùng Tiki nữa, xin chào và tạm biệt ạ !!"
4,Sản Phẩm Tạm Được,"Mình đã nhận sản phẩm, Size áo và kích cỡ cho người mặt không giống như mô tả của Shop, mình đặt màu xanh rêu giống trong hình nhìn rất tươi nhưng khi nhận được là màu xanh nhưng không đẹp như hình nhìn rất già. Minh đã đề nghị đổi trả, hy vọng bên Shop sẽ đổi trả cho mình sản phẩm mới. Một điều nữa hàng đi quá chậm gần một tuần mới nhận được hàng."
2,Không hài lòng,"mình đặt màu nâu đất mà shop giao màu cam. từ lúc đặt hàng mình không thấy giao diện hiện ra màu rõ ràng. giao diện chỉ có 6 màu, đây rõ ràng là màu cam,mình muốn xin địa chỉ để đến xin đổi lại màu hoặc là cho mình thông tin đổi trả."
5,Cực kì hài lòng,"Cúc áo lỏng lẻo, tạo tiếng kêu leng keng, cần khắc phục. Còn lại chất vải phù hợp với giá, đường may cẩn thận. Đặc biệt áo được bảo quản rất kỹ càng có cả mùi hương nước hoa rất thơm. Tiki đóng gói giao hàng rất nhanh."
3,Bình thường,"nhỏ bạn mua bên ngoài 169 k, shop bán rẻ hơn nhưng mua thì ...áo nhìn bề ngoài thì ok, nhưng đường may thì quá dở, chỉ bung nhiều gần cánh tay, chỉ thừa còn nhiều, may không chắc chắn,nói chung nếu áo được may kĩ thì chất lượng 5 sao"
5,Cực kì hài lòng,"Dear Shop Tiki.
Mình có đặt mua 1 áo khoắc size M.
Hiện tại không vừa mình có chính sách đổi size không shop.
Mình muốn đổi size M->L
phí ship mình chịu nha shop thanks.
Mong nhận phản hồi từ shop.
Hải.0981970910"
1,Giao sai màu áo,"Mình đặt mua áo màu nâu đất, shop giao màu cam
Shop liên hệ đổi lại giúp mình
Với lại mình đặt size L nhưng rộng, mình muốn đổi qua size M được không (màu nâu đất như mình đã đặt)"
1,Rất không hài lòng,"áo dùng khoảng 2-3 ngày, có hiện tượng bung chỉ, chất lượng may vá khá kém. Tôi rất bực mình vì điều đó, người ta đã bỏ tiền ra mua mặc dù ko cần đẹp cũng không sao, đằng này chất lượng chỉ may rất kém"
2,Không hài lòng,"Tiki giao hàng không đúng màu đã đặt.
đặt hàng màu nâu đất nhưng lại nhận được như hình chụp.
Đề nghị được Tiki kiểm tra và hỗ trợ đổi lại đúng màu và size đã đặt (nâu đất, size XL)"
