comment,labels
"Mình gọi một suất bánh tráng trộn ,bánh tráng sốt me, nộm xoài bò khô, trà quất, trong 4 thứ thì trà quất uống được nhất bánh tráng trộn thì không có vị lắm bánh tráng sốt me thì không có sốt me, xoài bò khô thì quá mặn  Ăn tạm được",0.0
"Áo dày, đường may chắc chắn. Màu xanh đen rất ưng ý. Bạn nào cao trên 1m58 thì mặc không bị vướng chiều dài. Áo ko xẻ hai bên hông nên ko lo bị ướt dù mưa to. Tuy nhiên sẽ thấy không thoải mái mỗi khi mặc vào hoặc cởi ra, ngồi xe tay ga có sàn xe phía trước thì đỡ vướng hơn.",1.0
"Áo mưa xịn, k thấm nước, đường may chắc chắn, chất đẹp. Phần mũ đội thoải mái không bị quá to hoặc quá nhỏ, thuận tiện cho việc quan sát
Rất thích♥️ Sẽ tiếp tục ủng hộ sp của shop.",2.0
"Sản phẩm rộng rãi, dài, ngồi chùm kín chân, mình cao 157cm, chưa có dịp đi trời mưa rất to và lâu. Mỗi tội cổ áo chui vào hơi nhỏ, mình đeo kính nên vướng, phải bỏ ra mới chui vào đc, mũ áo thì to thoải mái",0.0
Áo mưa nhìn đẹp lắm. Mặc thử rất vừa. Tay hơi ngắn xíu. Do cao 1m68 hihi. Chưa có dịp đi mưa để xem thêa nào. Hiện tại rất  Sản phẩm tốt,2.0
"Sản phẩm đóng gói rất kỹ và cẩn thận dù chỉ là 1 cái áo mưa thôi, mình cho điểm cộng về việc này.
Sản phẩm màu sắc như hình, vải dày dặn.  ",2.0
"Giao hành nhanh gọn, mở ra nhìn thì áo rất ok, cầm rất chắc chắn, nhưng chưa biết sd time sẽ như nào.
hmm mà sao không có bảo thẻ hành nhỉ 😅😅 sản phẩm",2.0
"Giá hạt dẻ nhưng chất lượng khá tốt. Form áo đẹp, nhưng size thì phù hợp với người gầy hơn, mình 168cm 54kg nhưng mặc size L vẫn vừa. Do vận chuyển từ Hà Nội vào TP. HCM nên mình nhận hàng hơi lâu nhưng vẫn chấp nhận được. Sản phẩm tốt",1.0
"Chất vải đẹp, mẫu mã tốt, Tiki giao hàng nhanh và chu đáo, áo size nhỏ hơn so với thực tế các hãng áo khác nên mình mặc không vừa, Tiki có thể đổi hàng lại cho mình không ? Mình chịu phí ship hàng. Mong sớm nhận được trả lời Size nhỏ hơn so với thực tế, nên mặc không vừa có đổi size khác lớn hơn được không ạ. Mình chịu phí ship",1.0
mình rất sợ mua đồ trên mạng ....nhất là quần áo vì hàng đa số không giống hình ....nay đánh liều mia của shop 2 cái áo ....đẹp lắm hàng y chang hình...mình hứa mai mốt có mua áo quần thì luôn mua sản phẩm của shop này ❤ Hàng đẹp,2.0
mình mặc size XL nhưng khi mình mua 2 cái thì mình lại đặt nhầm 1 cái là size L.giờ có thể cho mình đổi 1 cái thành size XL được không ạ??mình mua cái này là cái thứ 3 ở bên shop rồi.,1.0
"lần nào mua tiki cũng ưng cả,  giá hợp lí,  giao hàng nhanh,  vải cũng mát nữa,  hơi chật tý vs có sứt chỉ vài chỗ nhưng ko sao,  bỏ qua đc  👍👍👍  ",2.0
"Áo Sơ Mi Nam KOJIBA Dài Tay Công Sở chất liệu tốt, vải đẹp, mặc lên dáng chuẩn.
Màu sắc rất ưng ý, giá thành rẻ so với thị trường
Sẽ tiếp tục ủng hộ Áo Sơ Mi Nam KOJIBA Dài Tay Công Sở",2.0
"áo rất đẹp ,mình  thích, đúng như quảng cáo. mình rất    về sản phẩm",2.0
Sản phẩm tốt giao hàng rất nhanh luôn sẽ tiếp tục ủng hộ shop 😘,2.0
đẹp thì cũng có nhưng hơi mỏng nha cho dày thêm tí xíu đi ok. ,1.0
Tốt lắm mn,2.0
Hàng ok nha xxl thấy hơi nhỏ xíu,2.0
Áo đẹp rất tốt tôi rất thích,2.0
"Áo đẹp, giao hàng cực nhanh  ",2.0
rất là đẹp ❤❤❤,2.0
"Áo OK, giống hình ",2.0
"giao hàng nhanh bộ quần áo giống hệt trong ảnh tôi rất thích
xl vì tôi không chụp ảnh  ",2.0
"quần không giống trong ảnh nhưng mặc tạm được
tiền nào của nấy thôi ",1.0
Hàng đẹp ạ,2.0
"Vừa nhận được hàng. Tiki đóng gói cẩn thận, giao rất nhanh. Hỗ trợ phí ship tối đa.  ",2.0
"Nước xả thơm, shop gói hàng cẩn thận. Sẽ tiếp tục ủng hộ shop👍👍  ",2.0
"giá tốt , giao hàng tốt , chưa xài nhưng vote cho 5 sao .  ",2.0
Sản phẩm tốt lắm thơm và mềm vải,2.0
"Đong gói can than , phu họp tui tiền  ",2.0
gói hàng cẩn thận ok,2.0
sản phẩm ok nhé mn,2.0
rất ,2.0
Tủ đẹp tuy nhiên khi vận chuyển không bao bọc kỹ bị trầy các góc tủ ,2.0
Tủ nhẹ . Nhìn cũng ok. Nhưng nhà cung cấp nên vệ sinh tủ trước khi giao cho khách ,1.0
Hàng y hình nha mn. rất đẹp ạ,2.0
Hàng ok nhưng quá trình vận chuyển cần cản trọng ,1.0
"tủ đẹp,  ok,  giao hàng thân thiện.  ",2.0
"Hang dep tot.                        
",2.0
sp đẹp & sang trọng,2.0
đúng mẫu đúng màu fom mặc rất đẹp vừa vặn. Sẽ ủng hộ shop nữa. Shop làm ăn uy tín các bạn ủng hộ shop nhé . Thanks đúng mẫu đúng màu fom mặc rất đẹp vừa vặn. Sẽ ủng hộ shop nữa. Shop làm ăn uy tín các bạn ủng hộ shop nhé . Thanks,2.0
Áo đẹp đáng tiền cảm ơn Tiki đã mang đến sản phẩm chất lượng cho mình. Cảm ơn nhà bán hàng uy tín mình sẽ ủng hộ thêm,2.0
